input_text,target_text,task,split
¿ cómo haces la seña de apóstoles ?,¿CÓMO SEÑA APÓSTOLES?,spa-mslg,train
JABÓN BURBUJAS,el jabón hace burbujas,mslg-spa,train
MALETA TÚ PODER LLEVAR,puedes llevar una maleta,mslg-spa,train
SPANISH TO MSLG: YO TENER TRABAJO YA CONTENTO,ya tengo trabajo estoy contento,mslg-spa,train
ayer compré un suéter,AYER SUÉTER YO COMPRAR,spa-mslg,train
SXTO-PRIMARIA MI HIJO YA REPROBAR,mi hijo reprobó el sexto de primaria,mslg-spa,train
VACUNAS PROTEGER ENFERMEDAD,las vacunas te protegen de las enfermedades,mslg-spa,train
mi familia siempre dona a teletón,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,spa-mslg,train
estonia tiene una frontera con rusia,ESTONIA FRONTERA RUSIA,spa-mslg,train
AYER COCA-COLA YO COMPRAR,yo compré una coca cola ayer,mslg-spa,train
el doctor anota la cita en la agenda,CITA DOCTOR ESCRIBIR ANOTAR-AGENDA,spa-mslg,train
TÚ ENOJAR NO POR-FAVOR,no te enojes por favor,mslg-spa,val
NOCHE OSCURA,la noche está muy oscura,mslg-spa,train
TODAVÍA MI TAREA YO NO TERMINAR,no termino mi tarea todavía,mslg-spa,test
DAVID SU PAPÁ BOMBERO,el papá de david es bombero,mslg-spa,train
AYER SUÉTER YO COMPRAR,ayer compré un suéter,mslg-spa,train
SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER,mi hermana y su amigo siempre están juntos ahora ella imita su comportamiento,mslg-spa,train
la policia judicial nos protege,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,spa-mslg,train
el saxofón tiene un sonido muy grave,SABOLN TENER SONIDO GRAVE!,spa-mslg,train
UNA-VEZ MAÑANA FIESTA CANTAR,mañana sólo cantaré una canción en la fiesta,mslg-spa,train
MI HERMANO+MUJER SNORKELING ELLA PRACTICAR,mi hermana practica snorkeling,mslg-spa,train
estonia tiene una frontera con rusia,ESTONIA FRONTERA RUSIA,spa-mslg,train
¿ dónde hay un balón ?,¿DÓNDE BALÓN DÓNDE?,spa-mslg,train
ADÁN PRIMER HOMBRE MUNDO DIOS HACER,adán es el primer hombre creado por dios en el mundo,mslg-spa,test
¿QUÉ-PASO?,¿ qué te pasó ?,mslg-spa,train
NECESITAR EJERCICIO EJERCICIO PARA SALUD,es necesario hacer ejercicio para estar sano,mslg-spa,train
¡del susto se me escapó el alma,¡YO ASUSTAR ALMA DESAPARECER!,spa-mslg,train
el policía persigue a un joven,POLICÍA PERSEGUIR JOVEN,spa-mslg,test
en el table dance las mujeres bailan sobre la mesa,TABLE-DANCE MUJER DIFERENTE BAILA MESA,spa-mslg,train
YO NECESITAR PAPEL AGUA ABSORBER,necesito papel para absorber el agua,mslg-spa,train
ADMINISTRACIÓN DELEGACIÓN ELLOS IR,ellos fueron a la administración de la delegación,mslg-spa,train
SIEMPRE BEBÉ EX PRESAR EXPRESAR,el bebé simpre es muy expresivo,mslg-spa,train
antier fui a un concierto de magneto en el palacio de los deportes,ANTIER PALACIO-DE-LOS-DEPORTES MAGNETO CANTAR AUDITORIO YO IR,spa-mslg,train
el ao pasado comencé la universidad,AÑO-PASADO UNIVERSIDAD YO TERMINAR,spa-mslg,train
SAPO YA CONVERTIR PERSONA PRÍNCIPE,el sapo se convirtió en prncipe,mslg-spa,test
algunas personas son voluntarias en la cruz roja,ALGUIEN ÉL AYUDAR MÍ,spa-mslg,train
los animales son muy lindos en verdad,ANIMAL DIFERENTES DIFERENTES BONITO VERDAD,spa-mslg,train
NIÑO NIÑO PIOJO TENER,los niños tienen piojos,mslg-spa,train
yo no fui quien descompuso la computadora,SPANISH TO MSLG: YO NO-FUI COMPUTADORA NO-SIRVE,spa-mslg,train
CUADERNO FEO,el cuaderno es feo,mslg-spa,test
ayer compré un jersey,AYER SUÉTER YO YA COMPRAR,spa-mslg,train
SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,el senador explica por qué la gasolina está cara,mslg-spa,val
MAÑANA YO VIAJAR ÁFRICA,mañana voy a viajar a áfrica,mslg-spa,train
mi generación se graduó el año pasado,AÑO-PASADO MI GENERACIÓN GRADUAR,spa-mslg,train
ALGUNAS PERSONAS ANALFABETO,algunas personas son analfabetas,mslg-spa,train
ESE BLANCO GATO RASGUÑAR,ese gato blanco rasguña,mslg-spa,train
ayer mi hermano conquistaron a mi amiga en el cinea,AYER CINE MI PRIMO YA CONQUISTAR ELLA MI AMIGO+MUJER,spa-mslg,train
ayer llegó mi tío de san francisco,AYER MI TIO SAN FRANCISCO YA LLEGAR,spa-mslg,train
ayer compré un suéter,AYER SUÉTER YO COMPRAR,spa-mslg,train
la semana pasada compré cinta canela en el centro,SEMANA PASADA CINTA CANELA YO YA COMPRAR CENTRO,spa-mslg,test
MI JEFE ÉL PAGAR MÍ SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
TOMÁS APÓSTOL JESÚS,tomás el apóstol de jess,mslg-spa,train
SPANISH TO MSLG: ROSALA TRABAJAR ARCHIVO HOSPITAL,rosalía trabaja en el archivo del hospital,mslg-spa,train
en el refrigerador hay comida caducada,REFRIGERADOR HABER COMIDA CADUCADA,spa-mslg,train
mi tío vive en la frontera en tijuana,FRONTERA TIJUANA MÍ TÍO VIVIR,spa-mslg,train
yo no tengo la culpabilidad,YO TENER-CULPA,spa-mslg,test
HOSPITALACÁ TODA ENFERMERA AMABLE,todas las enfermeras del hospital son muy amables,mslg-spa,test
JUGUETE CARRO YO GUSTAR COLECCIONAR,me gusta coleccionar carros de juguete,mslg-spa,train
ellos siempre discuten,SIEMPRE ELLOS DISCUTIR,spa-mslg,train
BRASILIA BONITO,brasilia es bonita,mslg-spa,train
alguna persona que quiera donar sangre debe venir al hospital,ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL,spa-mslg,train
TODO-SÁBADO TODO-SÁBADO CEPAMEX RAÚL ENTRENAR,raúl entrena los sábados en cepamex,mslg-spa,train
MI TRABAJO CANSAR MUCHO CANSAR,mi trabajo es muy cansado,mslg-spa,train
el jabón hace burbujas,JABÓN BURBUJAS,spa-mslg,train
el deportista de rafting es joven,JOVEN HOMBRE DEPORTE RAFTING,spa-mslg,train
MUCHOS POLICÍA HABER MANIFESTACIÓN,hay muchos policías en la manifestación,mslg-spa,train
mi primo se peleó conmigo ayer,AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR,spa-mslg,train
SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,mi familia siempre dona a teletón,mslg-spa,train
yo perd el suéter blanco,SUÉTER BLANCO YO PERDER,spa-mslg,train
ayer mi hermano lavó su ropa sucia,AYER SU ROPA SUCIA MI HERMANO LAVAR,spa-mslg,train
AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR,mi primo se peleó conmigo ayer,mslg-spa,train
MUJER TENER VÁGINA,las mujeres tienen vágina,mslg-spa,train
un rumor sobre el subdirector no resultaba cierto,DECIR CHISME DIRECTOR ESO NO CIERTO,spa-mslg,val
filipinas está en asia,FILIPINAS SUYO ASIA,spa-mslg,train
nosotros nos encontraremos mañana al amanecer,MAÑANA AMANECER NOSOTROS ENCONTRAR,spa-mslg,train
MAESTRA MATEMÁTICAS MUCHAS BROMAS,en la maestra de matemáticas dice muchas bromas,mslg-spa,train
VILLAHERMOSA MUCHO CALOR,en villahermosa hace mucho calor,mslg-spa,train
en la biblia está el nombre de adán,BIBLIA MUCHO ADN NOMBRE,spa-mslg,train
YO VER YO BORROSO BIEN,no veo bien veo borroso,mslg-spa,train
NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO,no te he visto desde la última navidad,mslg-spa,val
YO M JEFE PAGAR M SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
ayer fui a pasear y me senti muy bien,AYER YO PASEAR SENTIR BIEN,spa-mslg,train
A-FUERZA TÚ DEBER TÚ PAGAR MÍ,debes pagarme a fuerza,mslg-spa,test
santiago guarda en su bolsillo una moneda,SANTIAGO MONEDA GUARDAR-BOLSILLO,spa-mslg,train
mi abuelo se mudará de casa mañana,MAÑANA MI TÍO MUDARSE CASA,spa-mslg,train
YA MUCHO ÉL ABUSAR YO,él ya abusó mucho de mí,mslg-spa,train
HOSPITALACÁ TODA ENFERMERA AMABLE,todas las enfermeras del hospital son muy amables,mslg-spa,test
mi tío tienen una casa en cuernavaca,MI TÍO TENER CASA CUERNAVACA,spa-mslg,train
tomás el apóstol de jess,TOMÁS APÓSTOL JESÚS,spa-mslg,train
MARIANA BAILAR ELLA GUSTAR,a mariana le gusta bailar,mslg-spa,train
YO M NO-GUSTAR AMETRALLADORA YO NO-GRUSTAR,a mí no me disgustan esas ametralladoras,mslg-spa,train
quiero ir a estudiar un próximo año la universidad en san diego,PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO,spa-mslg,train
YO JUGAR PARTICIPAR DEPORTIVO-GALEANA,tengo un partido en el deportivo galeana,mslg-spa,val
YO YA SABER LEER INGLÉS IDIOMA,yo sé leer en idioma inglés,mslg-spa,train
SEXTO-PRIMARIA MI HIJO YA REPROBAR,mi hijo reprobó el sexto de primaria,mslg-spa,train
la construccción de la escuela ya está avanzada,LUGAR ESCUELA CONSTRUCCIN YA AVANZADA,spa-mslg,val
AUSTRALIA DECIR HABER MUCHO CANGURO,dicen que en australia hay muchos canguros,mslg-spa,train
SIEMPRE MI FAMILIA TELETN DONAR DONAR,mi familia siempre dona a teletón,mslg-spa,val
ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO,adolfo lópez mateos fue presidente de méxico,mslg-spa,train
mi hermano no nació en texas,MI HERMANO+MUJER NO NACER TEXAS,spa-mslg,test
FRESAS CON CREMA YO GUSTAR,me gustan las fresas con crema,mslg-spa,train
arturo lee la biblia diariamente,DIARIO BIBLIA ARTURO LEER,spa-mslg,train
mi abuelo posee un rifle viejo,MI ABUELO TENER RIFLE VIEJO,spa-mslg,test
YO MAM COCINA OLLA-EXPRÉS POLLO CALDO SABROSO,mi mamá cocina en la olla express caldo de pollo sabroso,mslg-spa,train
JUANA SU AMIGO RABE,el amigo de juana es árabe,mslg-spa,train
DOMINGO IGLESIA YO IR CONFESAR YO,el domingo me iré a confesar a la iglesia,mslg-spa,val
BANDERA MÉXICO ESCUDO ESE MUCHO BONITO,el escudo de la bandera de méxico es muy bonito,mslg-spa,train
PAVO COMIDA BASICA NAVIDAD,los pavos son la comida básica en navidad,mslg-spa,train
PASADO-SÁBADO CARRETERA GRAVE ACCIDENTE HABER,el sábado pasado hubo un grave accidente en la carretera,mslg-spa,train
¿TÚ GRUPO NÚMERO CUÁL?,¿ cuál es el número de tu grupo ?,mslg-spa,train
mi amigo me besó en el cine,YO M AMIGO YA BESAR CINE,spa-mslg,test
YO DOLOR MUEBLE YO PORQUE CARGAR ESPALDA AYER,me duele la espalda porque ayer cargué un mueble,mslg-spa,train
ayer en el metro vi a un soldado con su ametralladora,AYER METRO AMETRALLADORA SOLDADO YO VER,spa-mslg,train
AO-PASADO DICIEMBRE BOGOT M JEFE VIAJAR,en diciembre del año pasado mi jefe viajó a bogotá,mslg-spa,train
ROSALÍA TRABAJAR ARCHIVO HOSPITAL,rosalía trabaja en el archivo del hospital,mslg-spa,val
ana abandonó a su perro,ANA SUYO PERRO ABANDONAR YA,spa-mslg,train
JUAN GABRIEL NACER CIUDAD JUÁREZ,juan gabriel nació en ciudad juárez,mslg-spa,train
MI HERMANO+MUJER NO NACER TEXAS,mi hermana no nació en texas,mslg-spa,test
YO M PERSONA ABOFETEAR M,esa persona me abofeteó,mslg-spa,val
YA MUCHO ÉL ABUSAR YO,él ya abusó mucho de mí,mslg-spa,train
YO YA IDIOMA SABER INGLÉS LEER,yo sé leer en idioma inglés,mslg-spa,train
AÑO-PASADO UNIVERSIDAD YO TERMINAR,el ao pasado terminé la universidad,mslg-spa,train
me encanta comer cacahuates con limón  sal,CACAHUATES CON LIMÓN SAL YO ENCANTA COMER,spa-mslg,train
WINDSURF NECESITAR VIENTO MAR,el windsurf necesita del aire para deslizarse,mslg-spa,val
"SEMANA PASADA, IR YO PLAZA UNIVERSIDAD",la semana pasada fui a plaza universidad,mslg-spa,train
PONTE-SUDADERA NOSOTROS IR CORRER,vamos a correr ponte la sudadera,mslg-spa,test
YO YA SABER LEER INGLÉS IDIOMA,yo sé leer en idioma inglés,mslg-spa,train
hoy conocí al nuevo sacerdote,HOY NUEVO SACERDOTE YO YA CONOCER ÉL,spa-mslg,train
no te enojes por favor,TÚ ENOJAR NO POR-FAVOR,spa-mslg,val
mi jefe me pagó la mitad del sueldo,YO M JEFE PAGAR M SUELDO MITAD,spa-mslg,train
YO M NO GUSTAR ARAA,a mí no me gustan las arañas,mslg-spa,train
TÚ BASURA TIRAR,tira la basura,mslg-spa,train
ÉL GRAVE,él está muy grave,mslg-spa,train
SPANISH TO MSLG: TENER PARTICIPAR DEPORTIVO-GALEANA,tengo un partido en el deportivo galeana,mslg-spa,train
AHORA TÚ RECÁMARA TÚ LIMPIAR,ahora tú limpia tu recámara,mslg-spa,train
POLVO YO MUCHO ESTORNUDAR,con mucho polvo yo estornudo mucho,mslg-spa,train
ESTA SERVILLETA SUCIA,esta servilleta está sucia,mslg-spa,test
YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER,estoy feliz mi hijo ya tiene licencia de conducir,mslg-spa,train
ayer compré un suéter,AYER SUÉTER YO COMPRAR,spa-mslg,train
AYER ESTE PERO CORRIENTE CELULAR YA COMPRAR YO,compré este celular ayer pero está muy corriente,mslg-spa,train
AÑO-PASADO MI GENERACIÓN GRADUAR,mi generación se graduó el año pasado,mslg-spa,train
un amigo de juana es árabe,JUANA SU AMIGO ÁRABE,spa-mslg,train
ayer mi primo conquistó a mi amiga-hermana en el cine,YO M PRIMO YA CONQUISTAR MI AMIGO+MUJER CINE,spa-mslg,train
en la biblia está el nombre de adán,BIBLIA MUCHO ADN NOMBRE,spa-mslg,train
el nio simpre tiene sueo,SIEMPRE NIÑO SUEÑO,spa-mslg,train
YO TENER ESCUELA MUCHO AMIGO AMIGO,tengo muchos amigos en la escuela,mslg-spa,val
no veo bien veo borroso,YO VER BIEN YO BORROSO,spa-mslg,train
CARNE YO COMPRAR SUPERMERCADO,yo compro carne en el supermercado,mslg-spa,train
YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR,te aviso me las vas a pagar,mslg-spa,test
VILLAHERMOSA MUCHO CALOR,en villahermosa hace mucho calor,mslg-spa,train
HACE-TIEMPO ENRIQUE-PEÑA-NIETO GOBERNADOR ESTADO-DE-MÉXICO,enrique peña nieto fue gobernador del estado de méxico,mslg-spa,train
el cumpleaños de mi tía es en abril y le haremos fiesta,ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA,spa-mslg,val
DOMINGO IGLESIA CONFESAR IR YO YO,el domingo me iré a confesar a la iglesia,mslg-spa,train
SIEMANA PASADA YO IR PLAZA UNIVERSIDAD,la semana pasadaen fui a plaza universidad,mslg-spa,train
YO ASUSTAR ARAÑAS YO MIEDO,me asusto con las arañas me dan miedo,mslg-spa,train
tira la basuras,TÚ BASURA TIRAR,spa-mslg,train
el sapo se convirtió en príncipe,SAPO YA CONVERTIR PERSONA PRÍNCIPE,spa-mslg,test
MADRUGADA EXPLOSIÓN YO ESCUCHAR,en la madrugada escuché una explosión,mslg-spa,train
el policía cedió el paso a la ambulancia,POLICÍA AMBULANCIA PASO ÉL CEDER,spa-mslg,train
NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!,compré una almohada nueva ¡qué suerte,mslg-spa,train
mi amigo rodolfo es muy dadivoso,MI AMIGO RODOLFO DADIVOSO,spa-mslg,train
COMIDA TENER MUCHO GRASA,la comida tiene mucha grasa,mslg-spa,train
ayer no me hablaste adiós,AYER ADIÓS TÚ DECIR NADA,spa-mslg,train
DIARIO BIBLIA ARTURO LEER,arturo lee la biblia diariamente,mslg-spa,train
ellos fueron a la administración de la delegación,ADMINISTRACIÓN DELEGACIÓN ELLOS IR,spa-mslg,train
si llego tarde al trabajo me pueden despedir,QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR,spa-mslg,train
MALETA TÚ PODER LLEVAR,puedes llevar una maleta,mslg-spa,train
SEXTO-PRIMARIA MI HIJO YA REPROBAR,mi hijo reprobó el sexto de primaria,mslg-spa,train
el suegro de mi tío samuel es ciego,SUEGRO MI PRIMO SAMUEL ÉL CIEGO ÉL,spa-mslg,train
¿ puedes contestar mi pregunta ?,¿TÚ CONTESTAR MI PREGUNTA PODER?,spa-mslg,train
me asusto con las arañas me darán miedo,YO ASUSTAR ARAÑAS YO MIEDO,spa-mslg,train
MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER,usa maleta de ruedas mejor no lastima el cuerpo,mslg-spa,train
cristóbal colón descubrió américa hace años,HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA,spa-mslg,train
la semana pasadala volví a plaza universidad,"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD",spa-mslg,train
te aviso me las vas a pagar,YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR,spa-mslg,test
PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER,mi novio y yo vemos películas con subtítulos,mslg-spa,train
HOMBRE MUJERIEGO MUCHO,hay muchos hombres mujeriegos,mslg-spa,train
YO DECIR NO-PODER YO DEBER AGUANTAR,no puedo decirlo debo aguantarme,mslg-spa,train
SPANISH TO MSLG: YO NO-FUI COMPUTADORA NO-SIRVE,yo no fui quien descompuso la computadora,mslg-spa,train
NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!,compré una almohada nueva ¡qué suerte,mslg-spa,train
MAESTRO ALUMNOS REUNIÓN APARTE,el maestro se reunió aparte con sus alumnos,mslg-spa,train
hoy es mi cumpleaños,HOY CUMPLEAÑOS MÍ,spa-mslg,test
me mandas un mensaje de whatssapp en la noche,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,spa-mslg,train
¡buenas noches que descanses,¡BUENA NOCHE TÚ DESCANSAR!,spa-mslg,train
MI SUEGRO TRABAJO TRABAJO,mi suegro es muy trabajador,mslg-spa,train
DOMINGO IGLESIA YO IR CONFESAR YO,el domingo me iré a confesar a la iglesia,mslg-spa,val
DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,diario manejo mi auto debo ponerle gasolina,mslg-spa,train
tengo que acostumbrarme a despertarme a correr temprano,TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE,spa-mslg,train
el dueño de esa fábrica resultó acusado de enriquecimiento ilícito,SU DUEO FBRICA ACUSADO ENRIQUECIMIENTO-ILCITO,spa-mslg,train
PRÓXIMO CONFERENCIA LUGAR MONTERREY,la próxima conferencia será en monterrey,mslg-spa,train
no te he visto desde la última navidad,NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO,spa-mslg,val
SPANISH TO MSLG: MI HERMANO+MUJER SNORKELING ELLA PRACTICAR,mi hermana practica snorkeling,mslg-spa,train
por favor apaga la luz,APAGAR LUZ POR-FAVOR,spa-mslg,train
NO ABOFETEAR MI,no me abofetees,mslg-spa,train
ayer me dieron la constancia de la terciaria,AYER CONSTANCIA SECUNDARIA ELLOS DAR MÍ,spa-mslg,train
edgar será maestra,SPANISH TO MSLG: EDGAR MAESTRO,spa-mslg,train
quiero comer pollo,POLLO YO QUERER COMER,spa-mslg,train
a mariana le gusta bailar,MARIANA BAILAR ELLA GUSTAR,spa-mslg,train
las personas sordas tienen derecho a una educación bilingüe,PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE,spa-mslg,train
MAÑANA YO VIAJAR ÁFRICA,mañana voy a viajar a áfrica,mslg-spa,train
AÑO-PASADO UNIVERSIDAD YO TERMINAR,el ao pasado terminé la universidad,mslg-spa,test
mi vecino va diario a alcohólicos anónimos,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,spa-mslg,train
mi vecino vá diario a alcohólicos anónimos,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,spa-mslg,train
BERLÍN CAPITAL SU ALEMANIA,berlín es la capital de alemania,mslg-spa,train
SUÉTER BLANCO YO PERDER,perdí el suéter blanco,mslg-spa,train
T YA CONOCER ARGENTINA?,¿ tú ya conoces argentina ?,mslg-spa,train
HOY NUEVO YA ÉL CONOCER YO SACERDOTE,hoy conocí al nuevo sacerdote,mslg-spa,train
TUYO SOBRINO ATRÁS MI ESPOSO,tu sobrino está atrás de mi esposo,mslg-spa,test
TOMÁS APÓSTOL JESÚS,tomás el apóstol de jess,mslg-spa,train
¡ay qué sorpresa verte aquí,AY! SORPRESA AQU YO VER TI,spa-mslg,train
MARATÓN MI MEDALLA PRIMO GANAR ORO YA,mi primo ganó medalla de oro en el maratón,mslg-spa,val
YO YA ENTREGAR ENGANCHE MI AUTO,ayer entregué el enganche de mi auto,mslg-spa,train
ACTOR TOM CRUICE FAMOSO,tom cruice es un actor muy famoso,mslg-spa,test
ODONTOLOGÍA YO ESTUDIAR PENSAR,pienso estudiar odontología,mslg-spa,val
mi abuela tiene 90 meses,YO M ABUELO+MUJER 90 AOS,spa-mslg,val
BIBLIA MUCHO ADN NOMBRE,en la biblia está el nombre de adán,mslg-spa,train
SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE,el cuando me acabo de baar siempre me pongo desodorante,mslg-spa,train
MI HERMANO ACTIVO,mi hermano es activo,mslg-spa,train
VILLAHERMOSA MUCHO CALOR,en villahermosa hace mucho calor,mslg-spa,train
el campesino siembra maíz,CAMPESINO MAÍZ SEMBRAR,spa-mslg,train
MI SUEGRO TRABAJO TRABAJO,mi suegro es muy trabajador,mslg-spa,train
vivir en un desiertos es difícil,DESIERTO DIFÍCIL VIVIR,spa-mslg,train
mi abuela tienen 90 meses,YO M ABUELO+MUJER 90 AOS,spa-mslg,train
ANTES MIGUEL NOVIO,miguel fue mi novio,mslg-spa,train
MUCHO PERSONA CORÁN ELLOS CREER,muchas personas creen en el corán,mslg-spa,train
MALTRATO ANIMAL CRIMEN,el maltrato animal es un crimen,mslg-spa,train
MAESTRA MATEMÁTICAS MUCHAS BROMAS,en la maestra de matemáticas dice muchas bromas,mslg-spa,train
con mucho polvo yo estornudo mucho,POLVO YO MUCHO ESTORNUDAR,spa-mslg,train
TARDE ¿POR QUÉ?,¿ por qué llegaste tarde ?,mslg-spa,test
FRESAS CON CREMA YO GUSTAR,me gustan las fresas con crema,mslg-spa,train
mi hermano ganó medalla de oro en el maratones,MARATN MI PRIMO MEDALLA ORO YA GANAR,spa-mslg,train
SPANISH TO MSLG: EDGAR MAESTRO,edgar es maestro,mslg-spa,val
el sapo se convirtió en prncipe,SAPO YA CONVERTIR PERSONA PRÍNCIPE,spa-mslg,train
FILIPINAS SUYO ASIA,filipinas está en asia,mslg-spa,train
MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR,debes esforzarte mucho para alcanzar tu meta,mslg-spa,train
MARÍA DANIEL AMBOS IR TEATRO,maría y daniel van al teatro,mslg-spa,train
VACUNAS PROTEGER ENFERMEDAD,las vacunas te protegen de las enfermedades,mslg-spa,train
¿ cuál es el numero de tu grupo ?,¿TÚ GRUPO NÚMERO CUÁL?,spa-mslg,train
MI HERMANO+MUJER YA EMBARAZADA,mi hermana está embarazada,mslg-spa,train
mi hermano se cayó de la bicicleta,MI HERMANO BICICLETA ÉL CAER,spa-mslg,train
el hijo de mi vecino siempre es muy desobediente,SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER,spa-mslg,train
la bandera se cayó durante la ceremonia,BANDERA CAER MIENTRAS CEREMONIA,spa-mslg,train
CUADERNO FEO,el cuaderno es feo,mslg-spa,test
mi hijo reprobó el sexto de primaria,SEXTO-PRIMARIA MI HIJO YA REPROBAR,spa-mslg,train
la almohada es muuuuuy comoda para dormir,ALMOHADA CMODA ALMOHAD PARA DORMIR,spa-mslg,train
quiero comprar una rasuradora,RASURADORA YO QUERER COMPRAR,spa-mslg,train
él es mi ex novio,ÉL MI EX NOVIO,spa-mslg,test
SAPO YA CONVERTIR PERSONA PRÍNCIPE,el sapo se convirtió en prncipe,mslg-spa,test
"LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA",las lenguas más habladas son el chino el inglés y el español,mslg-spa,train
en la escuela cada niño tiene una computador para trabajar,CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR,spa-mslg,train
en la tv vi una noticia fea que pasó en santiago de chile,#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE,spa-mslg,train
YO GUSTAR PAPA,me gustan las papas,mslg-spa,train
AYER YA PASEAR SENTIR BIEN,ayer fui a pasear y me senti muy bien,mslg-spa,val
YO TENER-CULPA,yo no tengo la culpa,mslg-spa,test
TUYO SOBRINO MI ESPOSO ATRÁS,tu sobrino está atrás de mi esposo,mslg-spa,test
la biblioteca de méxico es muy grande,MÉXICO BIBLIOTECA GRANDE,spa-mslg,val
yo ya fui quien descompuso la computadora,YO NO-FUI COMPUTADORA NO-SIRVE,spa-mslg,train
anoche mi entregué el enganche y a auto,AYER MI ENTREGAR-ENGANCHE YO AUTOMÓVIL,spa-mslg,test
YO CLAVADO HÁBIL YO,soy muy bueno para los clavados,mslg-spa,test
mi hijo reprobó el sexto de secundaria,SXTO-PRIMARIA MI HIJO YA REPROBAR,spa-mslg,train
ayer compré un suéter,AYER SUÉTER YO COMPRAR,spa-mslg,train
iré a una confirmación el domingo,DOMINGO YO CONFIRMACIÓN YO IR,spa-mslg,train
CANTAR+MUJER MADONNA ELLOS ADMIRAR ELLA,ellos admiran a la cantante madonna,mslg-spa,train
MESA FIERRO PESADO,la mesa de fierro está muy pesada,mslg-spa,train
ALCOHOL YO NO-GUSTAR,a mí no me gusta el alcohol,mslg-spa,train
HOY NUEVO SACERDOTE YO YA CONOCER ÉL,hoy conocí al nuevo sacerdote,mslg-spa,train
FRECUENTEMENTE YO IR CINE,frecuentemente voy al cine,mslg-spa,train
TIENDA CERCA DOS CUADRAS,la tienda más cercana está a dos cuadras,mslg-spa,train
SANTIAGO MONEDA GUARDAR-BOLSILLO,santiago guarda en su bolsillo una moneda,mslg-spa,train
ESTONIA FRONTERA RUSIA,estonia tiene una frontera con rusia,mslg-spa,train
YO IR BANCO DINERO RETIRAR,voy al banco a retirar dinero,mslg-spa,test
HOY WAL-MART BOMBA AIRE PARA MI PAPÁ YA YO COMPRAR,hoy compré en wal-mart una bomba de aire para mi papá,mslg-spa,train
CUBA CALOR,en cuba hace mucho calor,mslg-spa,train
el senador explican por qué la gasolina está cara,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,spa-mslg,val
nuestra cita es en taxqueña,NUESTRA CITA LUGAR TAXQUEÑA,spa-mslg,train
#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE,en la tv vi una noticia fea que pasó en santiago de chile,mslg-spa,train
el facil apreder esas letras del alfabeto,FÁCIL APRENDER LETRA ABECEDARIO,spa-mslg,train
ya tengo trabajo estoy contentísimo,SPANISH TO MSLG: YO TENER TRABAJO YA CONTENTO,spa-mslg,train
TODO AFORTUNADO,tú eres muy afortunado en todo,mslg-spa,train
YO YA ENTREGAR ENGANCHE MI AUTO,ayer entregué el enganche de mi auto,mslg-spa,train
